Citation number,Citation instance,Article,Ground truth,Dataset version,WMF claim text,WMF source URL,WMF provenance
25,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1,,,
26,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Supported,v1,,,
27,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sanaa_(2014)&oldid=1332969229,Partially supported,v1,,,
76,1,https://en.wikipedia.org/w/index.php?title=History_of_Chechnya&oldid=1333083936,Partially supported,v1,,,
123,2,https://en.wikipedia.org/w/index.php?title=History_of_Chechnya&oldid=1333083936,Supported,v1,,,
165,1,https://en.wikipedia.org/w/index.php?title=History_of_Chechnya&oldid=1333083936,Partially supported,v1,,,
167,1,https://en.wikipedia.org/w/index.php?title=History_of_Chechnya&oldid=1333083936,Supported,v1,,,
170,1,https://en.wikipedia.org/w/index.php?title=History_of_Chechnya&oldid=1333083936,Supported,v1,,,
1,1,https://en.wikipedia.org/w/index.php?title=Dancing_House&oldid=1331358792,Supported,v1,,,
2,1,https://en.wikipedia.org/w/index.php?title=Dancing_House&oldid=1331358792,Supported,v1,,,
3,1,https://en.wikipedia.org/w/index.php?title=Dancing_House&oldid=1331358792,Supported,v1,,,
5,1,https://en.wikipedia.org/w/index.php?title=Dancing_House&oldid=1331358792,Supported,v1,,,
8,1,https://en.wikipedia.org/w/index.php?title=Dancing_House&oldid=1331358792,Supported,v1,,,
112,1,https://en.wikipedia.org/w/index.php?title=Al_Jazeera_Media_Network&oldid=1330605065,Partially supported,v1,,,
113,1,https://en.wikipedia.org/w/index.php?title=Al_Jazeera_Media_Network&oldid=1330605065,Partially supported,v1,,,
114,1,https://en.wikipedia.org/w/index.php?title=Al_Jazeera_Media_Network&oldid=1330605065,Supported,v1,,,
116,1,https://en.wikipedia.org/w/index.php?title=Al_Jazeera_Media_Network&oldid=1330605065,Supported,v1,,,
18,1,https://en.wikipedia.org/w/index.php?title=Al_Jazeera_Media_Network&oldid=1330605065,Supported,v1,,,
27,1,https://en.wikipedia.org/w/index.php?title=Al_Jazeera_Media_Network&oldid=1330605065,Partially supported,v1,,,
30,1,https://en.wikipedia.org/w/index.php?title=Al_Jazeera_Media_Network&oldid=1330605065,Supported,v1,,,
28,1,"https://en.wikipedia.org/w/index.php?title=Hartford,_Connecticut&oldid=1329287981",Supported,v1,,,
29,1,"https://en.wikipedia.org/w/index.php?title=Hartford,_Connecticut&oldid=1329287981",Partially supported,v1,,,
30,1,"https://en.wikipedia.org/w/index.php?title=Hartford,_Connecticut&oldid=1329287981",Supported,v1,,,
32,1,https://en.wikipedia.org/w/index.php?title=Nasry_Asfura&oldid=1330112057,Not supported,v1,,,
52,1,https://en.wikipedia.org/w/index.php?title=Liberation_Tigers_of_Tamil_Eelam&oldid=1325239248,Partially supported,v1,,,
4,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sokhumi_(1992)&oldid=1291683944,Partially supported,v1,,,
7,1,https://en.wikipedia.org/w/index.php?title=Battle_of_Sokhumi_(1992)&oldid=1291683944,Partially supported,v1,,,
70,1,https://en.wikipedia.org/w/index.php?title=Freedom_Flotilla_II&oldid=1320167236,Not supported,v1,,,
61,4,https://en.wikipedia.org/w/index.php?title=First_Chechen_War&oldid=1325376850,Not supported,v1,,,
64,1,https://en.wikipedia.org/w/index.php?title=Second_Congo_War&oldid=1324841474,Not supported,v1,,,
739,1,https://en.wikipedia.org/w/index.php?title=Gaza_war&oldid=1324234133,Not supported,v1,,,
6,1,https://en.wikipedia.org/w/index.php?title=Agnes_Gund&oldid=1329750129,Partially supported,v2,,,
4,1,https://en.wikipedia.org/w/index.php?title=Arlo_Hemphill&oldid=1329709078,Not supported,v2,,,
40,1,https://en.wikipedia.org/w/index.php?title=Central_Bank_of_Sri_Lanka_bond_scandal&oldid=1319126614,Not supported,v2,,,
7,1,https://en.wikipedia.org/w/index.php?title=Gary_Graffman&oldid=1329781889,Not supported,v2,,,
5,1,https://en.wikipedia.org/w/index.php?title=Herzliya_Hebrew_Gymnasium&oldid=1330490808,Not supported,v2,,,
5,1,https://en.wikipedia.org/w/index.php?title=Justice_Mission-2025&oldid=1330519998,Partially supported,v2,,,
24,1,https://en.wikipedia.org/w/index.php?title=Kai_Cenat&oldid=1330512271,Not supported,v2,,,
4,1,https://en.wikipedia.org/w/index.php?title=Málaga–Almería_road_massacre&oldid=1329457872,Partially supported,v2,,,
30,1,https://en.wikipedia.org/w/index.php?title=National_Resistance_Front&oldid=1330111814,Not supported,v2,,,
8,1,https://en.wikipedia.org/w/index.php?title=Salaam-e-Ishq&oldid=1329988663,Not supported,v2,,,
14,1,https://en.wikipedia.org/w/index.php?title=Tim_Kask&oldid=1330498813,Supported,v2,,,
128,1,https://en.wikipedia.org/w/index.php?title=University_of_York&oldid=1330203930,Partially supported,v2,,,
19,1,https://en.wikipedia.org/w/index.php?title=Ajnad_al-Sham&oldid=1263995073,Not supported,v2,,,
7,1,https://en.wikipedia.org/w/index.php?title=Al-Jabal_Brigade&oldid=1262181669,Not supported,v2,,,
1,1,https://en.wikipedia.org/w/index.php?title=C._B._Forrest&oldid=1261714934,Not supported,v2,,,
9,1,"https://en.wikipedia.org/w/index.php?title=Clinton,_Washington&oldid=1256250414",Not supported,v2,,,
23,1,https://en.wikipedia.org/w/index.php?title=Croydon&oldid=1264351539,Not supported,v2,,,
3,1,https://en.wikipedia.org/w/index.php?title=Electric_energy_consumption&oldid=1265189492,Partially supported,v2,,,
6,1,https://en.wikipedia.org/w/index.php?title=Finley_Welch&oldid=1266392568,Not supported,v2,,,
7,1,https://en.wikipedia.org/w/index.php?title=Georgia_Shreve&oldid=1266203183,Partially supported,v2,,,
6,1,https://en.wikipedia.org/w/index.php?title=John_Zogby&oldid=1262931744,Not supported,v2,,,
90,1,https://en.wikipedia.org/w/index.php?title=Latin_music&oldid=1263170357,Not supported,v2,,,
2,1,https://en.wikipedia.org/w/index.php?title=Mohammad_Abdul_Rahman&oldid=1262327277,Not supported,v2,,,
48,1,https://en.wikipedia.org/w/index.php?title=Nasrin_Sotoudeh&oldid=1256477381,Not supported,v2,,,
18,1,https://en.wikipedia.org/w/index.php?title=Ohio_University&oldid=1263800935,Partially supported,v2,,,
96,1,https://en.wikipedia.org/w/index.php?title=Rashmika_Mandanna&oldid=1262804839,Not supported,v2,,,
35,1,https://en.wikipedia.org/w/index.php?title=Rax_Roast_Beef&oldid=1264300368,Not supported,v2,,,
41,1,https://en.wikipedia.org/w/index.php?title=Richard_Harris&oldid=1261700282,Not supported,v2,,,
1,1,https://en.wikipedia.org/w/index.php?title=Story_of_the_Eye&oldid=1263035448,Not supported,v2,,,
6,1,https://en.wikipedia.org/w/index.php?title=Sue_Fennessy&oldid=1264674950,Not supported,v2,,,
8,1,https://en.wikipedia.org/w/index.php?title=The_Phoenix_(magazine)&oldid=1263003668,Not supported,v2,,,
2,1,https://en.wikipedia.org/w/index.php?title=Wes_Olson&oldid=1261635737,Not supported,v2,,,
2,1,https://en.wikipedia.org/w/index.php?title=You'll_Never_Know&oldid=1263012631,Not supported,v2,,,
13,1,https://en.wikipedia.org/w/index.php?title=Zealandia_(wildlife_sanctuary)&oldid=1259406891,Not supported,v2,,,
3,1,https://en.wikipedia.org/w/index.php?title=Aida_Turturro&oldid=1325699710,Partially supported,v3,"Since 2013, she has guest-starred in several episodes of Law & Order: Special Victims Unit as Judge Felicia Catano.",https://www.nbc.com/nbc-insider/sopranos-star-aida-turturro-law-order-svu-role,human-annotation:source-verification-2026-04-25
5,1,https://en.wikipedia.org/w/index.php?title=Fireworks_policy_of_the_United_States&oldid=1327752468,Partially supported,v3,The primary reasons for the decrease in injury when looking at the amount of fireworks consumed are a result of an increase in firework testing and governmental policy that targeted violations of standards and illegal fireworks.,https://www.cpsc.gov/Newsroom/News-Releases/1988/FEDERAL-OFFICIALS-ANNOUNCE-SEIZURE-OF-MILLIONS-OF-ILLEGAL-IMPORTED-FIREWORKS-DURING-OPERATION-MIDWEST-THUNDER,human-annotation:source-verification-2026-04-25
2,1,https://en.wikipedia.org/w/index.php?title=The_Orphan_(1920_film)&oldid=1329204404,Supported,v3,The American Film Institute cites 6 contemporary reviews of the film.,https://catalog.afi.com/Film/17850-THE-ORPHAN?cxt=filmography,human-annotation:source-verification-2026-04-25
96,1,https://en.wikipedia.org/w/index.php?title=Benjamin_Crump&oldid=1327158151,Supported,v3,"Later, in December 2025, a Gadsden County jury awarded a $779 million verdict to Butler's family.",https://www.tallahassee.com/story/news/local/2025/12/09/gadsden-jury-returns-779m-award-over-internet-cafe-death/87687554007/,human-annotation:source-verification-2026-04-25
9,1,https://en.wikipedia.org/w/index.php?title=Black_Lives_Matter_movement_in_popular_culture&oldid=1325445858,Supported,v3,"Still, the movement’s measurable impact on the political and legal landscape is undeniable.",https://www.aclu.org/news/racial-justice/how-black-lives-matter-changed-way-americans-fight,human-annotation:source-verification-2026-04-25
44,1,https://en.wikipedia.org/w/index.php?title=List_of_Khatris&oldid=1328501803,Supported,v3,"Rajesh Khanna, Indian actor",https://www.filmfare.com/features/rajesh-khannas-rooh-is-still-in-aashirwad-9782.html,human-annotation:source-verification-2026-04-25
6,1,https://en.wikipedia.org/w/index.php?title=Adas_Israel_Congregation_(Washington%2C_D.C.)&oldid=1327881176,Supported,v3,Adas Israel has played an important role in the nation's capital since its founding.,"https://capitaljewishmuseum.org/a-witness-to-history-145-years-in-the-making/#:~:text=On%20a%20hot%20June%20day,a%20new%20set%20of%20stories.",human-annotation:source-verification-2026-04-25
3,2,https://en.wikipedia.org/w/index.php?title=Oscar_Longoria&oldid=1328228589,Supported,v3,"At the time, he was a member of the House General Investigating Committee, which brought the charges of misconduct against Paxton leading to his impeachment in the Texas House.",https://www.texastribune.org/2023/06/01/ken-paxton-impeachment-house-managers/,human-annotation:source-verification-2026-04-25
1,1,https://en.wikipedia.org/w/index.php?title=A_Measure_of_Shape_and_Sounds&oldid=1326095591,Supported,v3,"It was released on September 20, 2024, through Hopeful Tragedy Records.",https://alexhenryfoster.com/releases/a-measure-of-shape-and-sounds/,human-annotation:source-verification-2026-04-25
17,1,https://en.wikipedia.org/w/index.php?title=Pipeworks_Studios&oldid=1328669045,Supported,v3,Wu-Tang: Rise of the Deceiver,https://www.pipeworks.com/wu-tang-rise-of-the-deceiver/,human-annotation:source-verification-2026-04-25
3,1,https://en.wikipedia.org/w/index.php?title=Alexander_Muss_High_School_in_Israel&oldid=1325332199,Supported,v3,Alexander Muss prioritizes safety for their students and works directly with trusted Israeli security authority which is employed by the Ministry of Education who is in constant contact with the IDF and Police.,http://www.amhsi.org/safety,human-annotation:source-verification-2026-04-25
43,1,https://en.wikipedia.org/w/index.php?title=Hampshire_County_Cricket_Club&oldid=1325915571,Supported,v3,"In September 2025, it was confirmed that Adrian Birrell would leave his position as head coach after seven years.",https://www.bbc.com/sport/cricket/articles/c2ejgg01320o,human-annotation:source-verification-2026-04-25
22,1,https://en.wikipedia.org/w/index.php?title=BRP_Inc.&oldid=1329725451,Supported,v3,"In December 2025, it was announced that Denis Le Vot would be succeeding José Boisjoli as President and Chief Executive Officer.",https://news.brp.com/news-releases/news-release-details/brp-announces-appointment-denis-le-vot-president-and-chief,human-annotation:source-verification-2026-04-25
3,1,https://en.wikipedia.org/w/index.php?title=Corrado_Cagli&oldid=1329166401,Supported,v3,"In 1932, he held his first personal exhibition at the Gallery of Art of Rome.",https://www.museonovecento.it/en/mostre/corrado-cagli-artista-copernicano/,human-annotation:source-verification-2026-04-25
11,1,https://en.wikipedia.org/w/index.php?title=Bentleigh_Secondary_College&oldid=1325641568,Supported,v3,The college offers a variety of leadership opportunities for students.,https://www.bentleighsc.vic.edu.au/page/201/Student-Leadership,human-annotation:source-verification-2026-04-25
43,1,https://en.wikipedia.org/w/index.php?title=Adam_Silvera&oldid=1327148538,Partially supported,v3,"In May 2025, the New York Times Children’s and Young Adult Series Best Sellers list included Silvera’s Death-Cast series among the top-selling book series in the United States, demonstrating continued interest in the novels and their cultural presence beyond their initial release periods.",https://www.nytimes.com/books/best-sellers/2025/05/25/series-books/,human-annotation:source-verification-2026-04-25
74,1,https://en.wikipedia.org/w/index.php?title=Murder_of_Laken_Riley&oldid=1329020740,Partially supported,v3,"Republicans should be ashamed of exploiting this tragedy for their dangerous political games."" She subsequently voted against the Laken Riley Act.",https://clerk.house.gov/Votes/202523,human-annotation:source-verification-2026-04-25
8,1,https://en.wikipedia.org/w/index.php?title=Adhesive_capsulitis_of_the_shoulder&oldid=1327913359,Supported,v3,"Any movement, especially rapid or unguarded movement, can aggravate the pain.",https://pubmed.ncbi.nlm.nih.gov/19589853,human-annotation:source-verification-2026-04-25
32,2,https://en.wikipedia.org/w/index.php?title=The_Document_Foundation&oldid=1327463997,Supported,v3,"It defines itself as ""a home for the growing community of developers united to free users from vendor lock-in of content"".",http://www.documentliberation.org/,human-annotation:source-verification-2026-04-25
8,1,https://en.wikipedia.org/w/index.php?title=Andrew_Stone%2C_Baron_Stone_of_Blackheath&oldid=1326745988,Supported,v3,"In December 2024, the House of Lords recommended that Lord Stone be suspended for six months after finding that he had bullied parliamentary security staff after he had left his suitcase unattended next to a parliamentary estate entrance.",https://www.bbc.co.uk/news/articles/cql569v0pq2o,human-annotation:source-verification-2026-04-25
4,1,https://en.wikipedia.org/w/index.php?title=Air_hockey&oldid=1327649286,Supported,v3,"Based on polo, two players moved miniature motorbikes around inside a cabinet, with each player attempting to knock the balls into the opponent's goal.",https://www.famitsu.com/news/202006/28200872.html,human-annotation:source-verification-2026-04-25
6,1,https://en.wikipedia.org/w/index.php?title=Paul_Bettencourt&oldid=1330417965,Supported,v3,"In December 2008, Bettencourt stepped down from his role shortly after winning reelection, and a day after the Democratic Party levied these allegations.",https://abc13.com/archive/6547770/,human-annotation:source-verification-2026-04-25
8,1,https://en.wikipedia.org/w/index.php?title=Tehemton_Erach_Udwadia&oldid=1329056256,Supported,v3,He has shared his experience through his book- More than just surgery.,https://www.amazon.in/More-than-Just-Surgery-Lessons/dp/0670096512,human-annotation:source-verification-2026-04-25
5,1,https://en.wikipedia.org/w/index.php?title=Janet_M._Baker&oldid=1327698163,Supported,v3,"There, she completed her doctoral training and collaborated on foundational statistical approaches to speech recognition.",https://www.technologyreview.com/1998/09/01/236899/enter-the-dragon/,human-annotation:source-verification-2026-04-25
293,1,https://en.wikipedia.org/w/index.php?title=2025_NFL_season&oldid=1325393553,Supported,v3,Only to make the team feel uneasy and are feeling the strong need to have a strong finish.,https://www.nbcnews.com/sports/nfl/aaron-rodgers-pittsburgh-steelers-nfl-rcna246696,human-annotation:source-verification-2026-04-25
58,1,https://en.wikipedia.org/w/index.php?title=Arup_Group&oldid=1327712903,Partially supported,v3,"LaGuardia Airport, United States, 2025",https://www.arup.com/en-us/projects/deltas-new-terminal-c-at-lga/,human-annotation:source-verification-2026-04-25
9,1,https://en.wikipedia.org/w/index.php?title=Raul_Campillo&oldid=1325790018,Partially supported,v3,"Raul is known to be a strong proponent of Flock Safety ALPR cameras and has publicly defended the technology's effectiveness despite considerable concerns from labor, student and community groups in San Diego such as the American Civil Liberties Union, San Diego and Imperial County Labor Council and Alliance San Diego.",https://www.10news.com/news/local-news/san-diego-split-on-flock-cameras-as-council-prepares-surveillance-vote,human-annotation:source-verification-2026-04-25
12,1,https://en.wikipedia.org/w/index.php?title=McNary_High_School&oldid=1326430057,Supported,v3,"Anthony Hudson, artist known for drag clown persona Carla Rossi",https://www.smokesignals.org/articles/2019/10/31/tribal-member-anthony-hudson-channels-alter-ego-into-full-length-play/,human-annotation:source-verification-2026-04-25
4,1,https://en.wikipedia.org/w/index.php?title=Kiran_Thagunna&oldid=1328871748,Partially supported,v3,Thagunna made his Twenty20 International (T20I) debut for Nepal on 16 June 2025 against the Netherlands during a tri-series in Scotland.,https://www.cricnepal.com/kiran-thagunna-and-rupesh-singh-make-their-t20i-debut,human-annotation:source-verification-2026-04-25
11,1,https://en.wikipedia.org/w/index.php?title=Miriam_Lexmann&oldid=1327473758,Supported,v3,She became a full member of the European Parliament Committee on Foreign Affairs (AFET) and was included as a substitute in the European Parliament Subcommittee on Security and Defence (SEDE).,https://www.postoj.sk/51336/miriam-lexmann-sa-stala-clenkou-vyboru-pre-zahranicnu-politiku,human-annotation:source-verification-2026-04-25
1,1,https://en.wikipedia.org/w/index.php?title=Lucca_railway_station&oldid=1326365276,Supported,v3,"The façade features a double row of arches and, despite modifications over time, retains much of its original 19th-century appearance.",https://www.gpsmycity.com/attractions/lucca-railway-station-43861.html,human-annotation:source-verification-2026-04-25
40,1,https://en.wikipedia.org/w/index.php?title=William_Dalrymple&oldid=1325853991,Not supported,v3,"His comments on Middle Eastern politics have drawn criticism, particularly regarding the Israel–Palestine conflict.",https://yourawesomeindia.com/2020/04/07/the-dalrymple-delusion/,human-annotation:source-verification-2026-04-25
5,1,https://en.wikipedia.org/w/index.php?title=Goose_Pond_Fish_and_Wildlife_Area&oldid=1325098828,Partially supported,v3,"With both water and upland dry parcels for habitat, the Wildlife Area has logged the sighting of more than 280 species of birds.",https://ebird.org/hotspot/L319816/bird-list,human-annotation:source-verification-2026-04-25
4,1,https://en.wikipedia.org/w/index.php?title=Dodge_C_series&oldid=1328112606,Partially supported,v3,"Thus, the ½ ton Dodge was now called the D100, the ¾ ton D200 and 1 ton model D300.",https://www.hagerty.com/valuation-tools/dodge/d100/1957/1957-dodge-d100-1!2_ton,human-annotation:source-verification-2026-04-25
3,1,https://en.wikipedia.org/w/index.php?title=Ibn_al-Banna'_al-Marrakushi&oldid=1327523190,Supported,v3,"Ibn al‐Bannāʾ al‐Marrākushī (Arabic: ابن البناء المراكشي), full name: Abu'l-Abbas Ahmad ibn Muhammad ibn Uthman al-Azdi al-Marrakushi (Arabic: أبو العباس أحمد بن محمد بن عثمان الأزدي)  (29 December 1256 – 31 July 1321), was a Arab polymath who was active as a mathematician, astronomer, Islamic scholar, Sufi and astrologer.",https://almerja.com/reading.php?idm=21874,human-annotation:source-verification-2026-04-25
1,3,https://en.wikipedia.org/w/index.php?title=Pino_Arlacchi&oldid=1326961501,Not supported,v3,A review of the Arlacchi plan has been carried out in March 2009 by the UN Commission on Narcotic Drugs.,https://www.politico.eu/article/crime-fighting-calabrian/,human-annotation:source-verification-2026-04-25
7,2,https://en.wikipedia.org/w/index.php?title=William_Edward_Wells&oldid=1327452294,Not supported,v3,"Intrigued by the foul odors, Lukas declined the offer and left.",https://www.heraldtribune.com/story/news/2003/06/04/man-says-accidental-shooting-led-to-four-other-slayings/28752160007/,human-annotation:source-verification-2026-04-25
2,1,https://en.wikipedia.org/w/index.php?title=Kalen_Brunson&oldid=1325653653,Supported,v3,"Born in Bermuda, Brunson joined Queens Park Rangers in December 2024, having previously played for his boyhood club, PHC Zebras.",https://bernews.com/2025/08/aug15-kalen-brunson-makes-qpr-debut-cup/,human-annotation:source-verification-2026-04-25
9,1,https://en.wikipedia.org/w/index.php?title=Springfield_Armory_Hellcat&oldid=1327252062,Partially supported,v3,"Introduced in September 2019, it is chambered in 9×19mm Parabellum and intended for concealed carry, with 10-, 11-, 13-, 15-, and 17-Round magazines.",https://www.springfield-armory.com/press-releases/springfield-armory-announces-hellcat-worlds-highest-capacity-micro-9mm/,human-annotation:source-verification-2026-04-25
24,1,https://en.wikipedia.org/w/index.php?title=West_Morris_Central_High_School&oldid=1326577119,Partially supported,v3,"The team won the North II Group III state sectional championship in 1982, 1991, 1995, 2001, 2004, 2009, 2021, 2022, 2023, and 2025 and won a North II Group IV title in 2012.",https://bigstatesports.com/west-morris-runs-over-summit/,human-annotation:source-verification-2026-04-25
3,1,https://en.wikipedia.org/w/index.php?title=Soundgarden&oldid=1325535987,Partially supported,v3,Soundgarden was among one of the first grunge bands to be signed to a major label when they signed to A&M Records in 1989.,https://www.onamrecords.com/artists/soundgarden,human-annotation:source-verification-2026-04-25
7,1,https://en.wikipedia.org/w/index.php?title=Debra_Wilson&oldid=1328093052,Partially supported,v3,"Among her characters were Latina bimbo Melina (""Lida and Melina""), Reality Check's Tovah McQueen, Stick Chick Autumn, Kappa Kappa Kappa sorority sister Hayden Brooks, Alexis Duvane (Prehistoric Glamazon Huntresses), blaxploitation actress Cocoa Latette (Son of Dolemite), Lowered Expectations Host and Ms. Not Nice (The Jenny Jones Show). ",https://screenrant.com/madtv-cast-members-where-are-they-now/,human-annotation:source-verification-2026-04-25
6,1,https://en.wikipedia.org/w/index.php?title=CD_Badajoz&oldid=1325632743,Not supported,v3,"The club previously played at Estadio El Vivero in the east of the city, before moving a few kilometres south of the Guadiana in 1998 to the new facilities; the first match at the new grounds took place on 2 December 1998, in a friendly goalless match with neighbours CF Extremadura.",https://countryfc.com/badajoz/,human-annotation:source-verification-2026-04-25
6,1,https://en.wikipedia.org/w/index.php?title=Boston_University_College_of_Communication&oldid=1325341305,Not supported,v3,"COM is well regarded among communication colleges in the United States, listed on the Public Relations Education A-List by PR News and among Top Film Schools by Variety, and ranked by industry sources:",https://variety.com/lists/best-film-schools-north-america-2024/,human-annotation:source-verification-2026-04-25
7,1,https://en.wikipedia.org/w/index.php?title=NMDC_Limited&oldid=1330452661,Not supported,v3,Production of dead burnt magnesite and further value addition is under study through its subsidiary J K Mineral Development Corporation Limited.,https://timesofindia.indiatimes.com/amitava-mukherjee-assumes-additional-charge-as-nmdc-cmd/articleshow/98636198.cms,human-annotation:source-verification-2026-04-25
9,1,https://en.wikipedia.org/w/index.php?title=Jacolby_Satterwhite&oldid=1326966393,Partially supported,v3,"During recovery, he would watch Janet Jackson's video anthology VHS tape and play video games like Final Fantasy every day after school and in the hospital, influences that later shaped the fantastical, choreographed style of his digital art.",https://thecreativeindependent.com/people/artist-jacolby-satterwhite-on-trusting-your-own-process/,human-annotation:source-verification-2026-04-25
2,2,https://en.wikipedia.org/w/index.php?title=Nutri-Score&oldid=1329881549,Partially supported,v3,"Its goal is to allow consumers to compare the overall nutritional value of food products from the same group (category) , including food products from different manufacturers.",https://www.eurofins.de/food-analysis/other-services/nutri-score/,human-annotation:source-verification-2026-04-25
12,1,https://en.wikipedia.org/w/index.php?title=University_of_Colorado_Colorado_Springs&oldid=1328229368,Partially supported,v3,The college is also recognized as a Military Friendly® School for its strong support of veterans and commitment to accessible online education.,https://johnsonbethel.uccs.edu/about,human-annotation:source-verification-2026-04-25
